,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,1stFlrSF,2ndFlrSF,SalePrice,Total Years
44,0,3,70.0,7945,1,3,1150,0,141000,61
45,11,3,61.0,7658,1,3,1752,0,319900,15
46,4,3,48.0,12822,1,0,1518,631,239686,17
47,0,1,84.0,11096,1,3,1656,0,249700,14
48,14,4,33.0,4456,1,3,736,716,113000,100
49,0,3,66.0,7742,1,3,955,0,127000,54
51,4,4,52.0,6240,1,3,816,0,114500,86
52,10,4,110.0,8472,0,1,816,0,110000,57
53,0,3,68.0,50271,1,0,1842,0,385000,39
54,8,3,60.0,7134,1,3,1360,0,130000,65
55,0,3,100.0,10175,1,0,1425,0,180500,56
56,12,1,24.0,2645,1,3,983,756,172500,21
57,5,3,89.0,11645,1,0,860,860,196500,16
58,5,3,66.0,13682,1,1,1426,1519,438780,14
59,0,3,60.0,7200,1,3,780,0,124900,48
60,0,3,63.0,13072,1,3,1158,0,158000,16
61,7,4,60.0,7200,1,3,581,530,101000,100
62,11,3,44.0,6442,1,0,1370,0,202500,14
63,6,4,50.0,10300,1,0,902,808,140000,99
65,5,3,76.0,9591,1,3,1143,1330,317000,16
67,0,3,72.0,10665,1,0,1479,0,226000,17
68,1,4,47.0,4608,1,3,747,0,80000,75
69,4,3,81.0,15593,1,3,1304,983,225000,67
70,0,3,95.0,13651,1,0,2223,0,244000,47
71,0,3,69.0,7599,1,3,845,0,129500,38
72,5,3,74.0,10141,1,0,885,833,185000,22
73,0,3,85.0,10200,1,3,1086,0,144900,66
74,4,4,60.0,5790,1,3,840,765,107400,105
75,13,4,21.0,1596,1,3,526,462,91000,47
77,4,4,50.0,8635,1,3,1072,213,127000,72
78,10,3,72.0,10778,1,3,1768,0,136500,52
79,4,4,60.0,10440,1,3,682,548,110000,110
80,5,3,100.0,13000,1,3,1182,960,193500,52
81,11,4,32.0,4500,1,3,1337,0,153500,22
82,0,3,78.0,10206,1,3,1563,0,245000,13
83,0,3,80.0,8892,1,0,1065,0,126500,60
85,5,3,121.0,16059,1,3,1301,1116,260000,29
86,5,3,122.0,11911,1,1,684,876,174000,15
87,12,1,40.0,3951,1,3,612,612,164500,11
88,4,0,105.0,8470,1,0,1013,0,85000,105
89,0,3,60.0,8070,1,3,990,0,123600,26
90,0,3,60.0,7200,1,3,1040,0,109900,70
91,0,3,85.0,8500,1,3,1235,0,98600,59
92,1,3,80.0,13360,1,0,964,0,163500,99
93,14,0,60.0,7200,1,3,1260,1031,133900,110
94,5,3,69.0,9337,1,0,905,881,204750,23
96,0,3,78.0,10264,1,0,1588,0,214000,21
97,0,3,73.0,10921,1,3,960,0,94750,55
98,1,3,85.0,10625,1,3,835,0,83000,100
99,0,3,77.0,9320,1,0,1225,0,128950,61
101,5,3,77.0,9206,1,3,977,755,178000,35
102,10,3,64.0,7018,1,3,1535,0,118964,41
103,0,3,94.0,10402,1,0,1226,0,198900,11
105,5,1,75.0,9375,1,3,1053,939,250000,17
106,1,4,60.0,10800,1,3,1047,0,100000,135
107,0,4,50.0,6000,1,3,789,0,115000,72
108,4,4,85.0,8500,1,3,997,520,115000,101
109,0,3,105.0,11751,1,0,1844,0,190000,43
110,4,3,75.0,9525,1,3,1216,639,136900,66
112,5,3,77.0,9965,1,3,1282,1414,383970,13
114,6,3,61.0,7259,1,0,1436,884,259500,75
115,12,1,34.0,3230,1,3,729,729,176000,21
117,0,3,74.0,8536,1,3,1125,0,155000,14
118,5,3,90.0,12376,1,3,1699,1523,320000,30
119,5,3,65.0,8461,1,3,728,728,163990,15
121,4,4,50.0,6060,1,3,772,351,100000,81
122,0,3,75.0,9464,1,3,1080,0,136000,62
123,11,3,55.0,7892,1,3,1199,0,153900,27
124,0,3,48.0,17043,1,0,1586,0,181000,41
125,14,4,60.0,6780,1,3,520,0,84500,85
127,3,4,55.0,4388,1,0,840,0,87000,90
128,5,3,69.0,7590,1,3,660,688,155000,54
129,0,3,69.0,8973,1,3,1053,0,150000,62
130,5,3,88.0,14200,1,3,1216,941,226000,54
132,0,3,75.0,7388,1,3,1327,0,150750,61
134,0,3,78.0,10335,1,0,1721,0,180000,52
135,0,3,80.0,10400,1,3,1682,0,174000,50
137,10,3,82.0,11070,1,3,1959,0,171000,32
138,5,3,73.0,9066,1,0,1004,848,230000,21
139,5,3,65.0,15426,1,0,928,836,231500,23
140,0,3,70.0,10500,1,3,864,0,115000,49
141,0,3,78.0,11645,1,3,1734,0,260000,15
142,4,3,71.0,8520,1,3,910,475,166000,68
143,0,3,78.0,10335,1,0,1501,0,204000,21
144,10,4,70.0,9100,1,3,1728,0,125000,57
145,12,4,24.0,2522,1,3,970,739,130000,16
146,1,4,51.0,6120,1,3,875,0,105000,89
148,0,3,63.0,7500,1,3,1080,0,141000,16
150,0,3,120.0,10356,1,3,969,0,122000,45
151,0,3,107.0,13891,1,3,1710,0,372402,13
154,1,4,84.0,11340,1,3,1200,0,125000,97
155,4,3,60.0,9600,1,3,572,524,79000,96
156,0,3,60.0,7200,1,3,1040,0,109500,70
157,5,3,92.0,12003,1,3,774,1194,269500,11
158,5,1,100.0,12552,1,3,991,956,254900,16
159,5,3,134.0,19378,1,0,1392,1070,320000,15
161,5,3,110.0,13688,1,0,1572,1096,412500,17
162,0,3,95.0,12182,1,3,1541,0,220000,15
163,3,3,55.0,5500,1,3,882,0,103200,64
164,2,4,40.0,5400,1,3,1149,467,152000,94
165,14,3,62.0,10106,1,3,808,547,127500,80
167,5,3,86.0,10562,1,3,1610,551,325624,13
168,5,3,62.0,8244,1,0,840,880,183500,16
171,0,3,141.0,31770,1,0,1656,0,215000,60
172,12,3,44.0,5306,1,0,1064,703,239000,33
173,0,3,80.0,10197,1,0,1362,0,163000,59
174,0,3,47.0,12416,1,0,1651,0,184000,34
175,0,3,84.0,12615,1,3,2158,0,243000,70
176,5,3,97.0,10029,1,0,1164,896,211000,32
178,0,3,63.0,17423,1,0,2234,0,501837,12
179,1,4,60.0,8520,1,3,968,0,100000,97
181,6,3,54.0,7588,1,3,901,901,200100,100
182,0,3,60.0,9060,1,3,1340,0,120000,63
183,4,4,63.0,11426,1,3,1362,720,200000,17
184,4,3,92.0,7438,1,0,936,316,127000,112
185,7,4,90.0,22950,1,1,1518,1518,475000,128
187,4,3,60.0,10410,1,3,808,704,135000,104
188,10,3,64.0,7018,1,3,1224,0,153337,41
189,11,3,41.0,4923,1,3,1593,0,286000,19
190,6,3,70.0,10570,1,3,1549,1178,315000,88
192,0,3,68.0,9017,1,0,1431,0,192000,21
193,12,4,24.0,2522,1,3,970,739,130000,16
194,0,3,60.0,7180,1,0,864,0,127000,48
195,12,3,24.0,2280,1,3,855,601,148500,44
196,0,3,79.0,9416,1,3,1726,0,311872,13
197,7,3,174.0,25419,1,3,1360,1360,235000,102
198,7,4,92.0,5520,1,3,929,929,104000,108
199,0,3,76.0,9591,1,3,1713,0,274900,16
200,0,4,80.0,8546,1,3,1121,0,140000,17
201,0,3,75.0,10125,1,3,1279,0,171500,43
202,4,3,50.0,7000,1,3,865,445,112000,96
204,4,4,50.0,3500,1,3,720,564,110000,73
205,0,3,99.0,11851,1,3,1442,0,180500,30
206,0,3,40.0,13673,1,0,1696,0,143900,58
209,0,3,75.0,8250,1,3,1092,0,145000,56
210,1,3,67.0,5604,1,3,864,0,98000,95
211,0,3,83.0,10420,1,3,1212,0,186000,11
212,5,1,72.0,8640,1,3,932,920,252678,11
213,0,3,43.0,13568,1,1,990,0,156000,25
215,0,3,72.0,10011,1,0,1236,0,134450,63
216,0,3,65.0,8450,1,3,1436,0,210000,16
217,6,4,57.0,9906,1,3,810,518,107000,95
219,11,3,43.0,3010,1,3,1248,0,167240,15
220,0,3,73.0,8990,1,0,1498,0,204900,14
222,5,3,85.0,11475,1,3,811,741,179900,45
223,0,3,70.0,10500,1,3,864,0,97000,49
224,0,3,103.0,13472,1,3,2392,0,386250,17
225,12,4,21.0,1680,1,3,630,672,112000,49
226,5,3,82.0,9950,1,0,1214,1306,290000,25
227,12,4,21.0,1869,1,3,483,504,106000,50
228,0,3,70.0,8521,1,3,912,0,125000,53
229,11,3,43.0,3182,1,3,1555,0,192500,15
230,0,3,73.0,8760,1,3,1194,0,148000,61
231,5,3,174.0,15138,1,0,1490,1304,403000,25
232,12,4,21.0,1680,1,3,483,504,94500,48
233,0,3,75.0,10650,1,3,894,0,128200,44
235,12,4,21.0,1680,1,3,483,504,89500,49
236,0,3,65.0,8773,1,3,1414,0,185500,16
238,0,3,93.0,12030,1,3,1694,0,318000,13
239,4,3,52.0,8741,1,3,798,689,113000,75
240,0,1,75.0,9000,1,3,1566,0,262500,12
241,1,4,40.0,3880,1,3,866,0,110500,75
242,4,4,63.0,5000,1,3,889,551,79000,120
243,12,3,75.0,10762,1,3,626,591,120000,40
245,0,3,80.0,10400,1,3,1872,0,241500,32
246,14,4,69.0,9142,1,3,908,1020,137000,110
247,0,3,75.0,11310,1,3,1375,0,140000,66
248,5,3,72.0,11317,1,3,840,828,180000,17
250,1,3,55.0,5350,1,0,1306,0,76500,80
251,11,4,44.0,4750,1,0,1625,0,235000,14
252,5,3,65.0,8366,1,0,798,842,173000,16
253,8,3,85.0,9350,1,3,1302,0,158000,56
254,0,3,70.0,8400,1,3,1314,0,145000,63
255,5,3,66.0,8738,1,0,1005,1286,230000,21
256,5,1,64.0,8791,1,0,864,864,207500,17
257,0,3,68.0,8814,1,3,1604,0,220000,14
258,5,3,80.0,12435,1,3,963,829,231500,19
259,0,4,70.0,12702,1,3,882,0,97000,64
260,8,3,120.0,19296,1,3,1382,0,176000,58
261,5,3,69.0,9588,1,0,1482,1092,276000,13
262,8,3,88.0,8471,1,0,1212,0,151000,43
263,4,4,50.0,5500,1,3,926,0,130000,91
264,1,4,30.0,5232,1,2,764,0,73000,95
265,0,3,78.0,12090,1,0,1422,0,175500,39
266,5,3,70.0,11207,1,0,802,709,185000,23
267,7,3,60.0,8400,1,3,1052,720,179500,81
268,1,4,71.0,6900,1,3,778,0,120500,80
270,5,1,84.0,10728,1,3,1095,844,266000,14
271,0,3,73.0,39104,1,0,1363,0,241500,66
272,5,3,92.0,11764,1,0,1164,1106,290000,21
273,0,3,80.0,9600,1,3,1632,0,139000,62
274,0,3,76.0,8314,1,3,816,0,124500,38
275,4,3,55.0,7264,1,3,952,596,205000,95
276,0,3,129.0,9196,1,0,1560,0,201000,17
277,0,3,140.0,19138,1,3,864,0,141000,69
278,0,3,107.0,14450,1,3,2121,0,415298,14
279,5,3,83.0,10005,1,3,1156,866,192000,43
280,5,3,82.0,11287,1,3,1175,807,228500,31
281,0,1,60.0,7200,1,3,1262,0,185000,14
282,11,3,34.0,5063,1,3,1314,0,207500,13
283,0,3,74.0,9612,1,3,1468,0,244600,12
284,11,3,50.0,8012,1,3,1575,0,179200,28
285,12,1,35.0,4251,1,0,625,625,164700,14
286,4,3,77.0,9786,1,0,1085,649,159000,58
289,6,3,60.0,8730,1,3,698,698,153575,105
290,5,3,120.0,15611,1,3,1079,840,233230,14
291,14,3,55.0,5687,1,3,936,780,135900,108
292,4,3,60.0,11409,1,3,1148,568,131000,71
294,0,3,80.0,9600,1,3,1644,0,167000,67
295,8,3,37.0,7937,1,0,1003,0,142500,36
296,4,4,75.0,13710,1,3,910,648,152000,70
297,5,1,66.0,7399,1,0,975,975,239000,23
298,5,3,90.0,11700,1,3,1041,702,175000,52
299,0,3,80.0,14000,1,3,1152,0,158500,70
300,14,3,90.0,15750,1,3,1336,0,157000,67
301,5,3,66.0,16226,1,2,1210,1242,267000,22
302,0,3,118.0,13704,1,0,1541,0,205000,19
303,0,3,70.0,9800,1,3,894,0,149900,48
304,7,4,87.0,18386,1,3,1675,1818,295000,140
305,0,3,80.0,10386,1,3,2000,0,305900,16
306,5,3,116.0,13474,1,3,1122,1121,225000,30
309,0,3,90.0,12378,1,0,1944,0,360000,17
311,0,3,50.0,8000,1,3,972,0,132000,72
312,14,4,65.0,7800,1,3,793,325,119900,81
313,0,3,150.0,215245,1,2,2036,0,375000,55
314,6,4,60.0,9600,1,3,832,809,178000,95
315,5,3,71.0,7795,1,0,716,716,188500,16
316,5,3,94.0,13005,1,0,1153,1200,260000,40
317,5,1,75.0,9000,1,3,1088,871,270000,14
318,5,3,90.0,9900,1,3,1372,1274,260000,27
320,5,3,111.0,16259,1,3,1249,1347,342643,14
321,5,3,99.0,12099,1,0,1136,1332,354000,16
322,5,3,86.0,10380,1,0,1553,1177,301000,34
323,0,4,49.0,5820,1,3,1163,0,126175,65
324,8,3,96.0,11275,1,3,1898,1080,242000,53
325,3,4,50.0,5000,1,3,803,0,87000,79
326,11,3,32.0,10846,1,0,1719,0,324000,27
327,0,3,80.0,11600,1,3,1383,0,145250,60
329,6,4,60.0,6402,1,3,596,596,78000,100
331,0,3,70.0,8176,1,3,1056,0,139000,62
332,0,3,85.0,10655,1,0,1629,0,284000,17
333,11,4,59.0,8198,1,3,1358,0,207000,16
334,5,3,59.0,9042,1,0,943,695,192000,22
336,0,3,86.0,14157,1,0,1922,0,377426,15
337,0,3,70.0,9135,1,3,1536,0,214000,18
338,0,3,91.0,14145,1,3,1621,0,202500,36
339,0,3,66.0,12400,1,0,1215,0,155000,62
340,5,3,85.0,14191,1,3,993,915,202900,18
341,0,2,60.0,8400,1,3,841,0,82000,70
343,11,3,63.0,8849,1,0,1684,0,266000,15
344,12,4,36.0,2592,1,3,536,576,85000,44
345,4,3,65.0,6435,1,3,972,605,140200,81
348,12,3,36.0,2448,1,3,764,862,154000,17
349,5,3,56.0,20431,1,1,1848,880,437154,15
350,11,3,68.0,7820,1,0,1869,0,318061,13
352,4,3,60.0,9084,1,3,616,495,95000,79
353,1,4,60.0,8520,1,3,720,0,105900,92
354,4,3,60.0,8400,1,3,1192,403,140000,80
355,0,3,105.0,11249,1,1,1200,0,177500,25
357,11,4,44.0,4224,1,3,1142,0,134000,44
358,8,3,92.0,6930,1,0,1352,0,130000,62
359,5,3,78.0,12011,1,0,1086,838,280000,22
362,9,3,64.0,7301,1,3,495,1427,198500,17
363,12,4,21.0,1680,1,3,483,504,118000,48
365,6,4,59.0,10690,1,3,672,672,147000,100
367,8,3,101.0,9150,1,0,1431,0,165000,58
368,0,3,78.0,7800,1,3,1268,0,132000,66
371,4,3,80.0,17120,1,3,1120,468,134432,61
372,11,3,50.0,7175,1,3,752,0,125000,36
373,0,3,79.0,10634,1,3,1319,0,123000,67
374,5,3,65.0,8200,1,3,847,1081,219500,17
376,9,3,57.0,8846,1,0,914,0,148000,24
377,5,1,102.0,11143,1,0,1580,886,340000,16
378,0,3,88.0,11394,1,3,1856,0,394432,10
379,5,3,60.0,8123,1,0,1007,793,179000,20
380,4,3,50.0,5000,1,3,1026,665,127000,96
381,0,1,60.0,7200,1,3,1301,0,187750,14
382,5,3,79.0,9245,1,0,939,858,213500,14
383,3,2,60.0,9000,1,3,784,0,76000,92
385,11,3,43.0,3182,1,3,1269,0,192000,16
386,4,3,58.0,8410,1,3,658,526,81000,110
387,8,3,72.0,7200,1,3,1125,0,125000,44
388,0,3,93.0,9382,1,0,1479,0,191000,21
389,5,3,96.0,12474,1,3,1742,590,426000,13
390,4,3,50.0,8405,1,3,961,406,119000,120
391,5,3,71.0,12209,1,0,804,1157,215000,19
394,4,3,60.0,10134,1,3,735,299,109000,80
395,0,3,68.0,9571,1,3,1144,0,129000,64
396,0,3,60.0,7200,1,3,894,0,123000,48
397,5,3,69.0,7590,1,3,876,936,169500,58
398,1,4,60.0,8967,1,3,1077,0,67000,100
399,5,1,65.0,8125,1,3,1112,438,241000,14
400,11,3,38.0,14963,1,1,1288,0,245500,24
401,0,3,65.0,8767,1,0,1310,0,164990,15
402,1,3,60.0,10200,1,3,672,0,108000,80
403,5,3,93.0,12090,1,3,1165,1098,258000,22
406,4,3,51.0,10480,1,3,1166,0,115000,84
407,6,3,63.0,15576,1,3,840,840,177000,105
408,5,3,109.0,14154,1,3,1071,1101,280000,14
409,5,1,85.0,10800,1,3,1050,1028,339750,13
410,0,3,68.0,9571,1,3,1276,0,60000,62
411,14,3,100.0,34650,1,3,1056,0,145000,65
413,1,4,56.0,8960,1,3,1028,0,115000,93
414,5,3,59.0,11228,1,1,1080,1017,228000,27
415,0,3,73.0,8899,1,0,1340,0,181134,13
416,5,3,74.0,7844,1,3,672,728,149500,42
417,6,3,86.0,22420,1,0,1370,1254,239000,102
418,4,3,60.0,8160,1,3,756,378,126000,80
419,0,3,65.0,8450,1,3,1056,0,142000,52
420,10,4,78.0,7060,1,3,1344,0,206300,23
422,0,3,100.0,21750,1,3,988,0,113000,66
423,5,3,80.0,9200,1,3,1470,1160,315000,22
424,0,3,72.0,9000,1,3,1196,0,139000,64
425,5,4,60.0,3378,1,3,707,682,135000,74
427,0,3,77.0,8593,1,0,907,0,109008,63
428,0,3,64.0,6762,1,3,1208,0,195400,13
429,0,3,130.0,11457,1,0,1412,0,175000,32
430,12,4,21.0,1680,1,3,483,504,85400,49
431,4,4,60.0,5586,1,0,1088,110,79900,100
432,12,4,24.0,1920,1,3,765,600,122500,49
433,5,3,100.0,10839,1,0,926,678,181000,23
434,13,4,21.0,1890,1,3,630,0,81000,48
435,5,3,43.0,10667,1,1,827,834,212000,24
436,4,4,40.0,4400,1,3,734,384,116000,100
437,3,4,50.0,6000,1,3,904,0,119000,94
438,1,3,40.0,4280,1,3,694,0,90350,107
439,4,3,67.0,12354,1,3,684,512,110000,100
440,0,3,105.0,15431,1,3,2402,0,555000,12
441,10,3,92.0,12108,1,3,1440,0,118000,65
442,4,4,52.0,6240,1,3,1128,445,162900,90
443,11,3,53.0,3922,1,3,1258,0,172500,14
444,5,3,70.0,8750,1,3,933,975,210000,26
445,0,3,73.0,9855,1,3,1689,0,127500,64
446,0,3,137.0,16492,1,0,1888,0,190000,54
448,4,4,50.0,8600,1,3,780,596,119500,83
449,4,4,50.0,6000,1,3,679,504,120000,72
450,1,4,70.0,5684,1,3,813,0,110000,90
451,0,3,62.0,70761,1,0,1533,0,280000,45
453,5,1,75.0,9000,1,3,786,804,210000,12
454,10,3,63.0,9297,1,3,1728,0,188000,44
455,0,3,80.0,9600,1,3,1242,0,175500,47
456,6,4,34.0,4571,1,3,624,720,98000,104
460,5,1,75.0,8004,1,0,832,1103,263435,11
461,6,3,60.0,7200,1,3,575,560,155000,84
462,0,3,60.0,8281,1,0,864,0,62383,55
463,6,3,74.0,11988,1,0,849,811,188700,86
464,0,3,60.0,8430,1,3,1040,0,124000,42
466,0,3,85.0,10628,1,3,1277,0,167000,50
467,6,3,79.0,9480,1,3,888,756,146500,78
468,0,3,98.0,11428,1,0,1634,0,250000,14
469,5,3,76.0,9291,1,0,832,878,187000,27
471,5,3,92.0,11952,1,3,1161,808,190000,43
472,13,4,35.0,3675,1,3,1072,0,148000,15
473,0,3,110.0,14977,1,0,1976,0,440000,14
474,11,3,41.0,5330,1,3,1652,0,251000,20
475,0,3,80.0,8480,1,3,970,0,132500,57
476,0,3,75.0,13125,1,3,1493,0,208900,23
477,5,3,105.0,13693,1,3,2069,574,380000,14
478,0,3,79.0,10637,1,3,1718,0,297000,13
479,1,4,50.0,5925,1,3,1131,0,89471,83
480,0,3,98.0,16033,1,0,1850,0,326000,16
481,0,3,72.0,11846,1,0,1792,0,374000,17
482,6,4,50.0,2500,1,3,916,910,155000,105
483,11,4,32.0,4500,1,3,1216,0,164000,22
485,0,3,80.0,9600,1,3,1113,0,147000,70
486,0,3,79.0,10289,1,3,1073,0,156000,55
487,0,3,70.0,12243,1,0,1484,0,175000,49
488,14,3,60.0,10800,1,3,1766,648,160000,120
489,13,4,21.0,1526,1,3,630,0,86000,50
491,4,3,79.0,9490,1,3,958,620,133000,79
492,5,3,105.0,15578,1,0,728,728,172785,14
493,0,3,70.0,7931,1,3,1269,0,155000,60
494,1,4,50.0,5784,1,3,886,0,91300,82
495,1,0,60.0,7879,1,3,720,0,34900,100
497,4,3,60.0,9120,1,3,1133,687,184000,95
498,0,3,65.0,7800,1,3,899,0,130000,53
499,0,3,70.0,7535,1,0,912,0,120000,62
500,12,4,21.0,1890,1,3,672,546,113000,47
501,5,1,75.0,9803,1,3,866,902,226700,15
502,0,3,70.0,9170,1,3,1214,0,140000,55
503,0,3,100.0,15602,1,0,1801,0,289000,61
504,12,3,24.0,2308,1,3,855,467,147000,46
505,10,4,60.0,7596,1,3,960,1000,124500,68
506,5,3,80.0,9554,1,0,1065,846,215000,27
507,0,1,75.0,7862,1,0,1218,0,208300,11
508,6,4,60.0,9600,1,3,689,689,161000,92
509,0,3,80.0,9600,1,3,1041,0,124500,61
510,0,3,75.0,14559,1,3,1363,0,164900,69
511,11,3,40.0,6792,1,0,1368,0,202665,15
512,0,3,70.0,9100,1,3,864,0,129900,62
513,0,3,71.0,9187,1,3,1080,0,134000,37
514,3,3,55.0,10594,1,3,789,0,96500,94
515,0,3,94.0,12220,1,3,2020,0,402861,11
517,5,3,79.0,10208,1,0,1277,1067,265000,24
519,6,3,53.0,10918,1,3,1276,804,234000,94
520,14,3,60.0,10800,1,3,694,600,106250,120
521,0,3,90.0,11988,1,0,1244,0,150000,63
522,4,4,50.0,5000,1,3,1004,660,159000,73
523,5,3,130.0,40094,1,0,3138,1538,184750,13
524,5,3,95.0,11787,1,0,1383,1015,315750,24
525,0,1,62.0,7500,1,3,1266,0,176000,15
526,0,3,70.0,13300,1,3,928,0,132000,64
527,5,3,67.0,14948,1,0,1476,1237,446261,12
528,1,3,58.0,9098,1,0,605,0,86000,100
530,8,3,85.0,10200,1,3,1509,0,175000,32
531,6,4,60.0,6155,1,0,751,611,128000,100
532,0,3,60.0,7200,1,3,827,0,107500,65
533,0,3,50.0,5000,1,3,334,0,39300,74
534,5,3,74.0,9056,1,0,707,707,178000,16
535,14,3,70.0,7000,1,3,820,527,107500,110
536,5,3,57.0,8924,1,0,880,844,188000,22
540,0,3,85.0,14601,1,3,1838,0,315000,14
542,0,3,78.0,10140,1,3,1680,0,213250,22
543,11,2,34.0,4058,1,3,767,0,133000,22
544,5,3,58.0,17104,1,0,664,832,179665,14
546,4,3,70.0,8737,1,0,915,720,210000,97
547,9,3,54.0,7244,1,3,768,0,129500,50
548,0,4,49.0,8235,1,0,825,0,125000,65
549,5,1,75.0,9375,1,3,912,1182,263000,17
550,11,3,53.0,4043,1,3,1069,0,140000,43
551,0,4,50.0,6000,1,3,928,0,112500,63
552,0,3,87.0,11146,1,0,1717,0,255500,14
553,0,3,67.0,8777,1,3,1126,0,108000,71
554,5,3,85.0,10625,1,3,1006,1040,284000,17
555,3,4,58.0,6380,1,3,1048,0,113000,98
556,0,3,69.0,14850,1,0,1092,0,141000,63
557,4,0,60.0,11040,1,3,897,439,108000,100
558,5,3,57.0,21872,1,1,729,717,175000,24
561,0,3,77.0,10010,1,3,1389,0,170000,46
562,1,3,63.0,13907,1,3,996,0,108000,80
563,4,3,66.0,21780,1,3,1163,511,185000,102
565,6,3,66.0,6858,1,3,841,806,128000,105
566,5,3,77.0,11198,1,0,1134,1370,325000,15
567,0,3,70.0,10171,1,0,1535,0,214000,16
568,4,3,79.0,12327,1,0,1496,636,316600,37
570,10,3,74.0,13101,1,0,1728,0,142600,55
571,0,3,60.0,7332,1,3,864,0,120000,61
572,5,3,83.0,13159,1,0,846,846,224500,11
573,8,3,76.0,9967,1,0,774,656,170000,20
574,8,3,70.0,10500,1,3,576,533,139000,49
575,4,3,80.0,8480,1,3,832,384,118500,73
576,4,3,52.0,6292,1,3,877,600,145000,92
577,8,3,96.0,11777,1,0,1320,0,164500,54
578,12,1,34.0,3604,1,3,703,689,146000,13
579,4,4,81.0,12150,1,3,1050,745,131500,66
581,0,3,98.0,12704,1,3,2042,0,253293,12
582,10,3,81.0,11841,0,3,816,0,118500,30
583,7,4,75.0,13500,1,3,1521,1254,325000,127
584,4,4,51.0,6120,1,3,989,584,133000,85
585,0,3,88.0,11443,1,3,2028,0,369900,15
586,1,3,55.0,10267,1,3,838,0,130000,102
587,9,3,74.0,8740,1,0,860,0,137000,38
588,0,3,65.0,25095,1,0,1473,0,143000,52
589,2,4,50.0,9100,1,3,779,0,79500,90
590,5,3,64.0,8320,1,3,770,812,185900,16
591,5,3,97.0,13478,1,0,1728,568,451950,12
592,0,3,60.0,6600,1,3,816,0,138000,38
594,0,3,88.0,7990,1,0,924,0,110000,45
595,0,3,69.0,11302,1,0,1826,0,319000,15
596,6,4,60.0,3600,1,3,684,684,114504,110
597,11,3,53.0,3922,1,3,1402,0,194201,14
598,0,3,80.0,12984,1,3,1647,0,217500,43
599,12,4,24.0,1950,1,3,716,840,151000,40
600,5,3,74.0,10927,1,3,1058,846,275000,15
601,4,4,50.0,9000,1,3,780,595,141000,83
602,5,3,80.0,10041,1,0,927,988,220000,28
603,12,1,30.0,3182,1,3,600,600,151000,16
604,0,3,88.0,12803,1,0,1494,0,221000,18
605,5,3,85.0,13600,1,3,1186,800,205000,55
606,0,3,82.0,12464,1,1,1040,0,152000,24
607,0,3,78.0,7800,1,3,1112,896,225000,72
608,6,3,78.0,12168,1,3,1940,1254,359100,86
609,0,3,61.0,7943,1,3,1029,0,118500,59
613,0,3,70.0,8402,1,3,1120,0,147000,13
614,13,4,21.0,1491,1,3,630,0,75500,48
615,9,3,80.0,8800,1,3,1054,0,137500,57
617,3,3,59.0,7227,1,3,832,0,105500,66
618,0,3,90.0,11694,1,3,1828,0,314813,13
619,5,3,85.0,12244,1,3,1482,780,305000,17
620,1,3,45.0,8248,1,3,864,0,67000,106
621,5,3,90.0,10800,1,3,1548,1066,240000,46
622,0,3,71.0,7064,1,3,980,0,135000,43
624,5,3,80.0,10400,1,3,1012,778,165150,48
